,O'NEILL,DANIEL,CARTER,HAMMOND,TEAL'C,JONAS,MITCHELL,LANDRY,BRA'TAC,Season,Episode
0,7.811320754716981,11.538461538461538,10.4,11.761363636363637,8.904761904761905,0.0,0.0,0.0,0.0,1.0,1.0
1,7.850877192982456,10.5,10.26086956521739,11.90625,9.673469387755102,0.0,0.0,0.0,0.0,1.0,2.0
2,6.928571428571429,10.347826086956522,9.790322580645162,0.0,7.076923076923077,0.0,0.0,0.0,0.0,1.0,3.0
3,6.764705882352941,9.261538461538462,6.5,14.033333333333333,8.380952380952381,0.0,0.0,0.0,0.0,1.0,4.0
4,8.8,9.2,8.4,0.0,6.882352941176471,0.0,0.0,0.0,0.0,1.0,5.0
5,5.980582524271845,7.851063829787234,11.10958904109589,8.409090909090908,7.3076923076923075,0.0,0.0,0.0,0.0,1.0,6.0
6,7.458333333333333,9.420289855072463,8.372093023255815,9.2,11.46938775510204,0.0,0.0,0.0,0.0,1.0,7.0
7,9.160714285714286,9.303571428571429,11.65079365079365,19.0,9.192307692307692,0.0,0.0,0.0,0.0,1.0,8.0
8,7.164383561643835,10.523076923076923,9.511627906976743,12.142857142857142,10.923076923076923,0.0,0.0,0.0,0.0,1.0,9.0
9,8.380952380952381,10.990196078431373,13.275862068965518,14.88888888888889,7.875,0.0,0.0,0.0,0.0,1.0,10.0
10,9.092105263157896,8.0,7.90625,8.827586206896552,9.786666666666667,0.0,0.0,0.0,9.805555555555555,1.0,11.0
11,9.203389830508474,10.75,7.372093023255814,10.333333333333334,9.214285714285714,0.0,0.0,0.0,0.0,1.0,12.0
12,6.875,9.238095238095237,10.604651162790697,6.7555555555555555,11.823529411764707,0.0,0.0,0.0,0.0,1.0,13.0
13,6.508771929824562,10.2,10.227722772277227,10.9,7.333333333333333,0.0,0.0,0.0,0.0,1.0,14.0
14,10.150537634408602,13.652777777777779,8.6,15.4375,10.596153846153847,0.0,0.0,0.0,0.0,1.0,15.0
15,7.044444444444444,11.38,9.506172839506172,13.863636363636363,7.666666666666667,0.0,0.0,0.0,0.0,1.0,16.0
16,6.882978723404255,13.372093023255815,9.907407407407407,9.733333333333333,8.909090909090908,0.0,0.0,0.0,0.0,1.0,17.0
17,7.581967213114754,8.584905660377359,7.372881355932203,8.266666666666667,4.090909090909091,0.0,0.0,0.0,0.0,1.0,18.0
18,8.773333333333333,10.984615384615385,10.46875,16.4375,9.666666666666666,0.0,0.0,0.0,0.0,1.0,19.0
19,7.271739130434782,17.511627906976745,10.488372093023257,16.653846153846153,13.904761904761905,0.0,0.0,0.0,0.0,1.0,20.0
20,7.397435897435898,12.482758620689655,10.833333333333334,15.0,9.794871794871796,0.0,0.0,0.0,0.0,1.0,21.0
21,7.457142857142857,8.44,7.037037037037037,11.613636363636363,8.80952380952381,0.0,0.0,0.0,9.5,2.0,1.0
22,8.591549295774648,12.163934426229508,9.557142857142857,12.48,12.107142857142858,0.0,0.0,0.0,0.0,2.0,2.0
23,7.130434782608695,8.608695652173912,7.897058823529412,8.422222222222222,6.8,0.0,0.0,0.0,0.0,2.0,3.0
24,7.77,9.05,11.307692307692308,11.583333333333334,10.347826086956522,0.0,0.0,0.0,0.0,2.0,4.0
25,6.492063492063492,11.278846153846153,11.975,5.857142857142857,8.571428571428571,0.0,0.0,0.0,0.0,2.0,5.0
26,7.75,11.351648351648352,8.636363636363637,16.0,11.576923076923077,0.0,0.0,0.0,0.0,2.0,6.0
